Board,Algorithm,Board states,Time,Beam Width,Moves
1,bf,711,0.06556129455566406,-,21
2,bf,3210,0.3799560070037842,-,15
3,bf,8609,1.3722941875457764,-,33
1,bs,620,0.09864592552185059,50,21
1,bs,711,0.12034296989440918,100,21
1,bs,711,0.1219329833984375,200,21
2,bs,1981,0.3333549499511719,50,27
2,bs,1853,0.34911108016967773,100,19
2,bs,2153,0.43856120109558105,200,16
2,bs,2530,0.5475921630859375,300,16
2,bs,2432,0.542849063873291,400,15
3,bs,6986,1.5125949382781982,100,44
3,bs,8089,1.9901528358459473,200,38
3,bs,8351,2.2516469955444336,300,35
3,bs,8564,2.431440830230713,400,35
3,bs,8321,2.409482002258301,500,33
