Board,Algorithm,Board States,Time,Beam Width,Moves,heuristic_weight_value
1,bs,710,0.1047518253326416,50,23,0.25
1,bs,711,0.10644006729125977,100,21,0.25
1,bs,711,0.1080319881439209,200,21,0.25
1,bs,711,0.10804891586303711,300,21,0.25
2,bs,2090,0.2897329330444336,100,17,0.25
2,bs,2680,0.4329259395599365,200,17,0.25
2,bs,2591,0.46446704864501953,300,16,0.25
2,bs,2869,0.5308139324188232,400,16,0.25
2,bs,2627,0.562568187713623,500,15,0.25
3,bs,6459,1.1776580810546875,100,43,0.25
3,bs,8057,1.6231789588928223,200,37,0.25
3,bs,8424,1.948707103729248,300,36,0.25
3,bs,8319,1.9451167583465576,400,34,0.25
3,bs,8276,1.973747968673706,500,33,0.25

1,bf,711,0.07495284080505371,21
2,bf,3088,0.35246896743774414,15
3,bf,8597,1.320702314376831,33
