Car,Step
T,-4
U,-1
G,-1
T,2
U,1
N,-1
O,-1
K,-2
Q,-1
S,-2
Q,-1
U,-2
K,-1
O,1
L,2
J,-2
O,-1
J,1
S,-1
L,-1
G,-2
O,1
J,1
K,-1
S,-1
E,1
A,1
T,-1
U,1
M,1
T,1
A,1
M,-1
S,1
L,-1
N,1
T,-1
S,1
N,-1
U,-1
N,1
G,-1
K,-1
S,-1
A,-1
T,1
L,2
T,-1
M,-2
G,1
S,1
K,1
V,-2
S,-2
R,-2
K,-1
A,1
S,-1
A,-1
R,1
N,-1
R,-1
M,1
S,2
M,-1
R,1
M,-1
N,1
K,2
N,-1
L,-1
K,-1
L,-1
Q,1
A,-1
U,1
K,1
Q,1
K,-1
S,-1
O,-1
U,-1
E,-1
R,1
S,1
R,-1
S,-1
G,2
U,2
G,-1
O,1
T,-1
G,1
R,1
G,-1
S,1
T,1
K,1
G,-1
K,-1
S,-1
O,-1
V,2
U,-2
S,1
K,1
G,2
T,-1
O,1
K,-1
T,-2
O,-1
T,1
K,1
G,-1
Q,-1
G,1
J,-1
K,-1
O,-2
N,1
T,-1
N,-1
O,1
K,1
J,1
Q,-1
K,-1
S,-1
O,2
Q,1
T,3
U,1
S,1
V,-1
S,-1
O,-1
G,-2
Q,1
S,1
U,2
S,-1
V,-1
O,1
U,-2
O,-1
R,-1
U,-1
Q,-2
U,1
L,1
G,2
U,3
L,-1
O,1
U,-1
L,1
N,1
S,1
T,-3
N,-1
G,-1
L,-1
J,-1
U,-2
N,1
G,2
J,1
G,-1
J,-1
K,1
V,-1
Q,2
N,-1
U,4
G,-2
U,-4
O,-1
K,-1
G,2
K,1
G,-2
Q,-2
G,2
L,1
V,1
G,-2
O,1
J,1
N,1
J,-1
K,-1
L,-1
N,-1
V,-1
O,-3
K,1
G,2
L,1
U,4
R,1
U,-1
G,-2
L,1
V,-1
R,-1
K,-1
R,-1
V,1
G,-1
N,1
O,-1
R,2
O,1
N,-1
V,-1
N,1
L,-1
R,-1
L,-1
R,-2
G,1
N,1
X,-1
E,1
K,1
E,-1
V,1
G,2
K,-1
G,1
U,2
X,1
N,1
G,-4
E,1
V,-1
X,-1
E,-1
N,-1
U,-5
V,1
E,1
U,5
X,1
G,1
X,-1
K,1
X,1
A,1
N,1
X,-1
K,-1
G,-1
N,-1
A,1
G,1
X,1
S,-1
A,-1
S,1
V,-1
G,-1
X,-1
G,1
N,1
X,1
N,-1
U,-5
K,-1
V,1
A,1
S,-2
X,-1
U,2
X,1
V,-1
J,-1
V,1
X,-1
A,-1
U,2
X,1
U,-1
J,1
S,2
K,1
G,-1
X,-1
G,1
K,-1
X,1
A,1
V,-1
G,-1
V,1
X,-1
U,-2
N,1
G,1
S,-2
U,-2
V,-1
T,-1
V,1
J,-1
N,-1
E,2
V,-1
U,4
E,-2
T,1
E,2
F,-1
B,1
X,1
A,-1
F,-1
U,-1
V,-3
X,-2
B,1
H,2
U,-2
V,1
I,-1
U,1
N,1
B,-2
A,1
P,-1
N,-1
I,-2
A,-1
C,2
U,-1
N,1
H,3
U,1
H,-1
C,2
D,-1
A,1
W,-1
A,-1
P,-2
V,-1
H,1
B,1
P,2
V,1
A,4
D,1
H,-1
A,-4
V,-1
I,2
U,-1
P,-1
U,1
F,1
W,1
H,1
B,-1
C,1
B,2
D,-2
F,-1
N,-1
X,1
N,1
F,1
N,-1
P,-2
X,2
