Car,Step
AB,-1
AG,1
L,1
AB,1
AF,-1
AG,-1
AE,1
AG,1
AA,3
H,1
W,1
G,-1
H,-1
AH,1
P,2
AL,-1
AM,-1
F,1
AH,-1
S,1
Q,1
AG,-1
E,1
AB,-1
L,-1
H,1
AB,1
AQ,-1
AB,-1
L,1
C,1
K,1
Q,-1
AQ,1
H,-1
AC,-2
AQ,-2
AK,-1
AQ,2
AK,1
AQ,-2
AK,-1
Q,1
AH,1
P,-2
K,-1
H,1
C,1
AH,-1
L,-1
AM,1
AH,2
AI,-1
L,1
AI,-2
AQ,1
L,-1
AC,-1
P,2
AK,1
J,1
AI,2
AB,1
J,-1
AI,-1
P,-1
AI,-1
AD,1
AB,-1
AC,1
AQ,1
J,3
C,-1
W,1
L,1
H,-1
AG,1
C,-1
P,-1
W,1
E,-1
F,-1
N,-1
AK,-1
L,-1
AR,-1
AE,-1
V,1
P,1
AA,-5
V,-1
L,1
V,1
AF,1
AJ,-1
U,-1
AA,2
P,-1
AC,1
O,1
H,1
AJ,1
AD,-1
D,1
L,-1
A,-1
Q,-1
H,-1
AE,-1
Q,1
AA,2
J,-1
P,1
AA,1
H,1
AR,1
V,-1
Y,-1
H,-1
AK,1
Q,-1
J,-1
A,1
AA,-2
AE,1
AJ,-1
Q,1
A,-1
AD,1
AP,-1
P,1
AP,1
U,2
J,-1
A,1
M,1
U,-1
Q,-1
P,-1
AD,-1
S,-1
A,-1
AP,-1
P,1
A,1
AD,1
L,1
D,-1
P,-1
Y,1
H,-1
AC,1
H,2
Y,-1
AB,1
AO,1
P,1
AO,-1
D,1
AP,1
S,1
D,-1
S,-1
M,-1
AP,-1
AB,-1
D,1
M,1
Y,1
A,-1
AC,-2
P,-1
AO,1
V,1
M,-1
N,1
P,-1
S,1
A,1
AD,-1
A,-1
G,1
AO,-1
AC,2
A,1
H,-1
AD,1
AO,1
AB,1
S,-1
D,-1
V,-1
S,1
L,-1
J,3
V,1
AD,-1
D,1
J,-1
S,-1
G,-1
AE,-1
P,1
D,-1
F,1
V,-1
AO,-1
AA,-2
AE,1
AB,-1
AD,1
P,-1
Y,-1
AG,-1
U,1
AP,1
AQ,-1
D,1
F,-1
AB,1
F,1
AQ,1
AG,1
P,1
S,1
AD,-1
D,-1
E,1
D,1
AD,1
H,1
S,-1
AP,-1
N,1
S,1
AD,-1
A,-1
AE,-1
E,-1
AO,1
B,-1
F,-1
U,2
AO,-1
G,2
U,-1
AG,-1
AA,1
B,1
H,-1
Q,1
H,1
AP,1
AG,1
Q,-1
AJ,1
AG,-1
J,1
Q,1
P,-1
AQ,-1
N,1
AB,-1
A,-3
M,1
AC,-1
B,-1
H,-1
M,-1
P,1
L,1
N,-1
U,2
G,-1
AC,1
P,-1
A,3
AE,1
A,-5
AB,1
A,4
N,2
AA,-1
AQ,1
AB,-1
P,1
A,-2
AA,1
K,1
G,1
AC,-1
AK,-1
G,-1
A,2
AR,-1
P,-1
AA,-1
G,2
AC,-2
AJ,-1
AG,1
Q,-1
AE,-1
N,1
H,1
A,-3
AR,1
H,-1
K,-1
AR,-1
P,1
AR,1
AK,1
AG,-1
S,-1
AA,-1
AP,-1
AC,1
N,-2
D,-1
L,-1
N,2
J,-2
O,-1
N,-2
J,-1
AA,1
AQ,-1
U,-2
AC,1
O,1
AK,-1
U,1
N,1
B,-2
L,1
AQ,1
D,1
A,1
AC,-1
L,-1
AK,1
U,1
S,1
N,1
AK,-1
AR,-1
A,-2
I,-1
AO,1
N,-1
AA,-1
F,1
AR,1
B,1
S,-1
L,1
S,1
AK,1
S,-1
K,1
AC,2
AG,1
D,-1
AO,-1
AE,1
F,1
AG,-1
AQ,-1
H,2
B,-1
G,1
K,-1
B,1
P,1
G,-1
AA,1
L,-1
AC,-2
H,-2
G,1
P,-1
E,1
A,2
Q,-1
AP,1
AE,-1
G,-1
AJ,1
S,1
E,1
N,-1
AA,-1
Q,1
E,-1
AA,1
B,-1
