Car,Move direction,Step
X,L,-1
A,L,-1
X,R,1
A,L,-1
X,L,-1
B,L,-2
B,R,1
X,L,-1
C,L,-1
H,U,-1
B,L,-1
D,L,-1
X,R,2
G,U,-1
X,L,-1
F,R,1
G,U,-1
X,R,2
F,L,-1
X,L,-3
X,R,2
X,L,-2
F,R,2
E,R,1
G,D,1
K,U,-2
B,R,1
J,U,-1
B,L,-1
K,D,1
G,U,-1
X,R,3
X,L,-3
L,L,-4
G,D,1
X,R,1
B,R,1
B,L,-1
K,U,-1
I,L,-1
X,L,-1
L,R,4
X,R,1
B,R,1
X,L,-1
L,L,-4
I,L,-2
K,D,2
L,R,1
F,L,-1
F,R,1
K,U,-2
K,D,1
B,L,-1
K,U,-1
G,U,-1
K,D,2
F,L,-1
X,R,2
F,R,1
X,L,-2
X,R,1
J,U,-1
F,L,-1
J,D,2
G,D,1
H,D,2
B,R,2
X,L,-1
B,L,-2
B,R,1
H,U,-2
H,D,3
J,U,-1
B,L,-1
X,R,1
J,U,-1
G,U,-1
X,R,3
