Car,Move direction,Step
C,L,-1
G,U,-1
H,L,-1
H,R,1
G,D,1
G,U,-1
L,U,-1
A,L,-1
J,L,-1
I,D,2
I,U,-2
I,D,2
H,R,1
L,D,1
F,R,1
G,U,-1
G,D,1
K,U,-1
F,R,1
G,U,-1
F,L,-1
K,D,1
G,D,1
G,U,-1
X,R,1
K,U,-1
E,D,1
X,L,-1
G,D,1
G,U,-1
K,D,1
D,L,-1
F,L,-1
X,R,1
F,R,1
X,L,-1
D,R,1
K,U,-1
E,U,-1
H,L,-1
H,R,1
E,D,1
K,D,1
F,L,-1
E,U,-1
L,U,-1
L,U,-1
E,D,1
D,L,-1
J,L,-1
D,R,1
D,L,-1
J,L,-1
J,R,1
D,R,1
D,L,-1
J,L,-1
D,R,1
E,D,2
D,L,-1
D,R,1
E,U,-2
E,D,2
D,L,-1
H,L,-1
I,U,-1
I,U,-2
I,D,2
I,U,-2
I,D,2
D,R,1
I,U,-1
D,L,-1
D,R,1
I,D,1
I,D,1
I,U,-1
I,U,-1
D,L,-1
D,R,1
I,D,1
I,D,1
D,L,-1
D,R,1
D,L,-1
I,U,-2
I,U,-1
H,R,1
E,U,-1
E,U,-1
J,R,2
L,D,1
G,D,1
B,L,-1
J,R,1
J,L,-1
J,R,1
E,D,2
B,R,1
G,U,-1
L,D,1
X,R,1
H,L,-2
X,R,2
H,R,1
X,L,-2
L,U,-1
I,D,1
D,R,1
X,R,1
L,D,1
D,L,-1
X,L,-2
F,R,1
D,R,1
D,L,-1
D,R,1
X,R,1
X,R,2
G,D,1
D,L,-1
K,U,-1
B,L,-1
I,U,-2
H,R,1
X,R,1
