Car,Move direction,Step
J,L,-2
J,R,2
E,D,1
T,U,-5
E,U,-1
K,U,-1
U,L,-1
G,L,-1
U,R,1
U,L,-1
N,U,-1
N,D,1
K,U,-3
N,U,-1
O,L,-1
Q,L,-1
O,R,1
U,R,1
N,D,1
Q,R,1
T,U,-1
G,R,1
K,D,2
Q,L,-1
Q,R,1
J,L,-1
K,D,1
K,U,-3
G,L,-4
U,L,-1
S,U,-3
G,R,2
Q,L,-1
T,D,1
T,U,-1
K,D,1
Q,R,1
G,R,2
T,D,1
J,R,1
T,D,4
T,U,-2
E,D,1
Q,L,-1
E,U,-1
G,L,-1
S,D,2
T,U,-3
G,L,-2
K,D,1
S,U,-1
G,R,1
S,D,2
Q,R,1
N,U,-1
T,D,4
G,L,-1
Q,L,-1
E,D,1
E,U,-1
G,R,1
K,U,-2
S,U,-3
S,D,3
S,U,-4
T,U,-3
M,R,1
T,D,2
T,U,-2
J,L,-1
T,U,-1
S,D,3
T,D,1
U,R,1
G,R,1
S,D,1
K,D,3
T,U,-1
G,L,-3
J,R,1
U,L,-1
U,R,1
S,U,-1
E,D,1
A,R,2
M,L,-1
J,L,-1
S,D,1
Q,R,1
N,D,1
S,U,-1
U,L,-2
G,R,1
G,L,-1
Q,L,-1
A,L,-1
U,R,2
U,L,-2
G,R,1
J,R,1
J,L,-1
A,R,1
U,R,1
S,D,1
U,R,1
N,U,-1
M,R,1
A,L,-2
K,D,1
G,L,-1
Q,R,1
J,R,1
A,R,2
U,L,-1
G,R,1
J,L,-1
Q,L,-1
G,L,-1
K,U,-1
Q,R,1
J,R,1
M,L,-1
K,D,1
U,R,1
T,U,-1
M,R,1
K,U,-1
M,L,-1
S,U,-1
T,D,1
O,L,-1
G,R,1
S,D,1
A,L,-1
U,L,-1
J,L,-1
J,R,1
Q,L,-1
O,R,1
S,U,-1
O,L,-1
A,R,1
K,U,-1
O,R,1
U,R,1
J,L,-1
S,D,1
N,D,1
Q,R,1
U,L,-1
N,U,-1
M,R,1
M,L,-1
T,U,-1
N,D,1
K,U,-1
N,U,-1
J,R,1
O,L,-1
J,L,-1
K,D,2
G,L,-1
S,U,-1
O,R,1
T,D,1
T,U,-1
O,L,-1
Q,L,-1
U,R,1
J,R,1
O,R,1
T,D,1
N,D,1
U,L,-2
J,L,-1
G,R,1
J,R,1
T,U,-1
T,D,1
G,L,-1
T,U,-1
N,U,-1
N,D,1
U,R,1
Q,R,1
U,R,1
S,D,1
S,U,-1
T,D,1
G,R,1
T,U,-1
S,D,1
U,L,-1
