Car,Step
M,1
G,1
G,-1
Q,1
V,-1
I,-1
V,2
K,1
G,1
J,1
C,-1
V,-1
U,1
H,-1
H,1
K,-1
H,1
I,1
M,-2
V,1
M,1
K,1
W,-1
H,1
P,1
Y,-1
P,-1
P,1
Y,1
N,-2
I,-1
Q,-1
T,-1
W,1
O,-1
K,1
K,-1
I,1
K,1
P,-1
T,1
T,-1
I,-1
V,-2
I,1
V,1
M,1
M,-2
W,-1
O,-1
Z,-1
L,-1
Z,1
V,1
L,1
K,-1
Y,-1
X,2
Y,1
W,-1
I,-1
P,-2
P,1
T,-1
Z,-1
V,-2
P,1
I,1
P,-1
X,-1
Z,1
Y,-1
Z,-1
X,1
P,1
V,1
Z,1
U,-1
T,2
H,1
U,1
P,-2
P,1
Q,-3
V,1
Z,-1
V,-1
U,-1
P,1
U,1
V,1
V,-1
X,-1
K,1
J,-1
K,-1
J,1
U,-1
T,-1
K,1
X,1
Z,1
H,-1
X,-1
V,-1
R,-1
X,1
L,-1
R,1
J,1
O,-1
Q,1
H,1
T,1
R,-1
U,2
V,-1
R,1
T,-2
Y,1
O,1
D,2
D,-2
H,-1
T,2
O,-1
O,1
Q,2
L,-1
Y,-1
W,1
S,1
T,-1
G,1
S,-1
G,-1
S,1
W,-1
U,-1
K,3
X,-1
X,1
S,-1
H,1
P,-1
L,1
X,-1
J,-1
U,1
U,-1
V,1
W,1
J,-1
X,5
V,-1
P,1
Q,-1
Y,1
R,-1
Y,-1
S,1
Z,-2
S,-1
W,-1
N,1
V,3
Q,-1
Y,2
N,-1
N,1
Y,-1
L,1
W,1
W,-1
M,1
L,-1
Q,-1
V,-2
N,-1
P,-1
O,-1
Q,1
W,2
Y,1
L,1
T,2
V,2
X,1
