Car,Move direction,Step
J,D,1
AA,U,-1
P,R,2
AJ,L,-1
O,D,1
AL,L,-1
G,U,-1
O,U,-1
AB,U,-1
N,U,-1
J,U,-1
P,L,-2
AF,U,-1
AP,U,-1
AL,R,1
AN,U,-1
AA,D,1
AA,U,-1
L,R,1
AO,R,1
AN,D,1
M,R,1
AQ,U,-1
AE,R,1
L,L,-1
P,R,2
AH,D,1
AA,U,-1
W,D,1
L,R,1
AC,L,-1
AC,L,-2
AA,D,1
W,U,-1
AE,L,-1
AL,L,-1
AO,L,-1
AG,L,-1
L,L,-1
AM,L,-1
AM,R,1
AC,R,3
AD,R,1
M,L,-1
J,D,1
H,R,1
AH,D,1
H,L,-1
N,D,1
N,U,-1
M,R,1
AC,L,-2
P,L,-1
AQ,D,1
AK,U,-1
AO,R,1
AK,D,1
AO,L,-1
AI,L,-3
J,U,-1
AQ,U,-1
AG,R,1
H,R,1
AC,L,-1
AA,U,-1
P,R,1
AD,L,-1
H,L,-1
AQ,D,1
AP,D,1
AE,R,1
AJ,R,1
L,R,1
P,L,-1
AG,R,1
AB,D,1
W,D,2
AK,U,-1
M,L,-1
H,R,1
L,L,-1
AE,R,1
V,R,1
H,L,-1
V,L,-1
L,R,1
Y,L,-1
AJ,L,-1
AJ,R,1
AR,U,-1
L,L,-1
AJ,L,-1
P,R,1
P,L,-1
N,D,1
H,R,1
AB,U,-1
AR,D,1
G,D,1
H,L,-1
G,U,-1
W,D,1
AA,D,1
U,D,1
AD,R,1
L,R,1
U,U,-1
S,R,1
N,U,-1
H,R,1
N,D,1
AA,U,-1
S,L,-1
W,U,-1
AK,D,1
AA,D,1
S,R,1
AE,L,-1
G,D,1
P,R,1
G,U,-1
G,D,1
AB,D,1
AP,U,-1
W,D,1
K,R,1
AG,L,-1
AK,U,-1
Y,R,1
P,L,-1
AO,R,1
P,R,1
AO,L,-1
AP,D,1
AB,U,-1
AG,R,1
V,R,1
K,L,-1
G,U,-1
AC,R,1
AP,U,-1
AA,D,1
S,L,-1
W,U,-1
AG,L,-1
AQ,U,-1
K,R,1
W,D,1
F,R,1
P,L,-2
V,L,-1
H,L,-1
AP,D,1
P,R,1
H,R,1
V,R,1
H,L,-1
AP,U,-1
AK,D,1
AC,R,1
F,L,-1
S,R,1
AP,D,1
AA,U,-2
AC,L,-1
Q,D,1
H,R,1
AK,U,-1
N,U,-1
AE,L,-1
AN,U,-1
U,U,-1
P,R,1
