Car,Move direction,Step
C,L,-1
X,L,-2
C,R,1
C,L,-1
A,L,-1
X,R,1
D,L,-1
B,L,-1
H,U,-1
X,R,1
D,R,1
X,L,-1
A,L,-1
A,R,1
D,L,-1
X,R,1
H,D,1
H,U,-1
G,U,-1
F,R,2
X,L,-1
X,L,-1
E,R,1
E,L,-1
E,R,1
J,U,-1
K,U,-2
I,L,-3
A,L,-1
L,L,-4
K,D,2
A,R,1
L,R,1
E,R,1
E,L,-1
X,R,1
L,L,-1
X,L,-1
X,R,1
A,L,-1
B,L,-1
L,R,1
G,U,-1
K,U,-1
J,D,1
E,L,-1
E,R,1
K,D,1
E,L,-1
K,U,-1
G,D,1
X,R,1
X,L,-2
E,R,1
K,D,1
F,L,-1
G,U,-1
E,L,-1
E,R,1
H,D,1
J,U,-1
X,R,1
H,D,2
X,R,3
